"row_id","source","lat_deg","lon_deg","report_date","status_id","water_source_clean","water_source_category","water_tech_clean","_water_tech_category","facility_type","clean_country_name","clean_adm1","clean_adm2","clean_adm3","clean_adm4","install_year","installer","rehab_year","rehabilitator","management_clean","status_clean","pay","fecal_coliform_presence","fecal_coliform_value","subjective_quality","activity_id","scheme_id","wpdx_id","notes","orig_lnk","photo_lnk","country_id","data_lnk","distance_to_primary","distance_to_secondary","distance_to_tertiary","distance_to_city","distance_to_town","water_point_history","rehab_priority","served_population","local_population","crucialness","pressure","usage_cap","is_urban","days_since_report","staleness_score","is_latest","location_id","cluster_size","clean_country_id","country_name","water_source","water_tech","status","adm2","adm3","management","adm1","new_georeferenced_column_","lat_deg_original","lat_lon_deg","lon_deg_original","public_data_source","converted","count","created_timestamp","updated"
"452526","REACH Initiative","21.157035","92.146464","2019-11-06T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,"012931",,"7MHJ544W+RH8","Camp 15-G…Ukhia…CXB-223",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","30527.399452335994","620.125112820478","2384.965093580187","36027.69525947519","30461.47751615076","{""2019-06-11"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}, ""2019-11-06"": {""source"": ""REACH Initiative"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","2130",,,"300","False","1049","71.84503777858333","true","378637","2","BGD","Bangladesh","Tube Well","pump_n_6",,"Cox's Bazar",,,"Chittagong","POINT (92.146464 21.157035)",,"(21.157035°, 92.146464°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx","#install_year","1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"452359","REACH Initiative","21.157729","92.141018","2019-12-06T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,"012753",,"7MHJ545R+3CR","Camp 15-F…Ukhia…CXB-223",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","30357.526990563234","1182.8561623900837","2624.5748284779906","35689.927756692254","30445.616119487695","{""2019-06-12"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}, ""2019-12-06"": {""source"": ""REACH Initiative"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","1087",,,"300","False","1019","72.52765535556202","true","378961","2","BGD","Bangladesh","Tube Well","pump_n_6",,"Cox's Bazar",,,"Chittagong","POINT (92.141018 21.157729)",,"(21.157729°, 92.141018°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx","#install_year","1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"611426","UNHCR","21.08535846","92.13582846","2019-06-17T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-011797",,"7MHJ34PP+48W","Camp 23-B…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","38219.93959315369","427.43387276599736","315.97809403340943","42711.50920622104","29389.059351835214","{""2019-06-17"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","193",,,"300","False","1191","68.70014247564741","true","379946","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.13582846 21.08535846)",,"(21.08535846°, 92.13582846°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"452671","REACH Initiative","21.162722","92.140226","2019-12-06T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,"013081",,"7MHJ547R+33Q","Camp 15-E…Ukhia…CXB-223",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","29798.65567613056","1246.2494598363862","2276.3131043163107","35164.27665382281","29906.47196154552","{""2019-06-12"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}, ""2019-12-06"": {""source"": ""REACH Initiative"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","24",,,"300","False","1019","72.52765535556202","true","379146","2","BGD","Bangladesh","Tube Well","pump_n_6",,"Cox's Bazar",,,"Chittagong","POINT (92.140226 21.162722)",,"(21.162722°, 92.140226°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx","#install_year","1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"611591","UNHCR","21.082028","92.138091","2019-06-17T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-011983",,"7MHJ34JQ+R68","Camp 23-B…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","38618.24317236216","435.04738430956075","487.5234944820472","43142.159767158075","28952.239115618453","{""2019-06-17"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","1059",,,"300","False","1191","68.70014247564741","true","380011","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.138091 21.082028)",,"(21.082028°, 92.138091°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"611283","UNHCR","21.133516","92.163702","2019-06-17T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Whykong",,,,,,,,,,,"BGD-BGDs000044-012174",,"7MHJ45M7+CF4","Camp 21-E…Teknaf…CXB-108",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","33429.14874437627","524.7282233965678","2464.4724839467176","39173.97305820227","32532.518476505604","{""2019-06-17"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"20","3427","0.005836008170411439","0.06666666666666667","300","False","1191","68.70014247564741","true","380067","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.163702 21.133516)",,"(21.133516°, 92.163702°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"600274","UNHCR","21.155461","92.145458","2019-06-16T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,"BGD-BGDs032270-008627",,"7MHJ544W+55P","Camp 16-D…Ukhia…CXB-224",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","30681.087255429862","737.2664892946273","2587.5884623069496","36130.17105690121","30645.248874166155","{""2019-06-16"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","2145",,,"300","False","1192","68.67849069701948","true","379733","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.145458 21.155461)",,"(21.155461°, 92.145458°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"611620","UNHCR","21.083874","92.133762","2019-06-17T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-012312",,"7MHJ34MM+GGR","Camp 23-A…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","38353.19339024223","161.56125693340664","563.982098754133","42782.1773319849","29379.927773303385","{""2019-06-17"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","348",,,"300","False","1191","68.70014247564741","true","380093","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.133762 21.083874)",,"(21.083874°, 92.133762°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"611533","UNHCR","21.07880473","92.14618078","2019-06-18T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-011928",,"7MHJ34HW+GFF","Camp 23-C…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","39080.04881120988","1004.889761781102","372.5782035928504","43798.844134291736","28179.55213335249","{""2019-06-18"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","2630",,,"300","False","1190","68.72180108027736","true","380303","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.14618078 21.07880473)",,"(21.07880473°, 92.14618078°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"611723","UNHCR","21.073733","92.138566","2019-06-19T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-012412",,"7MHJ34FQ+FCW","Camp 23-C…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","39536.72854401678","35.84755643893876","393.6084513358063","44013.18677416372","28174.974620853955","{""2019-06-19"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","4634",,,"300","False","1189","68.74346651306132","true","380688","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.138566 21.073733)",,"(21.073733°, 92.138566°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
